"","QTL_ID","Symbol","Chromosome","Center_cM","Range_cM","Cood_A_bp","Coord_B_bp","Trait_Name","Significance","FlankMrkA2","FlankMrkA1","FlankMrkB1","FlankMrkB2"
"420",29112,"GPT","15",NA,"4170.68-4170.68",65519162,65519202,"Guttural pouch tympany","Significant","","","",""
"566",29258,"RHOD","15",NA,"4170.68-4170.68",54419893,54419933,"Rhodococcus equi infection","Significant","","","",""
"567",29259,"RHOD","15",348.48,"4170.68-4170.68",7394024,7394064,"Rhodococcus equi infection","Significant","","","",""
"571",29263,"RHOD","15",NA,"4170.68-4170.68",51485683,51485723,"Rhodococcus equi infection","Significant","","","",""
"572",29264,"RHOD","15",NA,"4170.68-4170.68",51596742,51596782,"Rhodococcus equi infection","Significant","","","",""
"573",29265,"RHOD","15",NA,"4170.68-4170.68",51634387,51634427,"Rhodococcus equi infection","Significant","","","",""
"686",29500,"MFERT","15",NA,"2644.72-2644.72",56115705,56115745,"male fertility","Significant",NA,NA,NA,NA
"701",29515,"BFSUS","15",NA,"3226.06-3226.06",68450474,68450514,"Bone fracture","Significant","","","",""
"915",147710,"BW","15",NA,"",80921851,80921891,"Body weight","Significant",NA,"","",NA
"1134",165851,"WITHIH","15",NA,"",52466002,52466042,"Withers height","Significant",NA,"","",NA
"1212",165929,"WITHIH","15",NA,"",59435307,59435347,"Withers height","Significant",NA,"","",NA
"1221",165938,"WITHIH","15",NA,"",27542682,27542722,"Withers height","Significant",NA,"","",NA
"1244",165962,"WITHIH","15",NA,"",81544864,81544904,"Withers height","Significant",NA,"","",NA
"1277",165995,"WITHIH","15",NA,"",52466002,52466042,"Withers height","Significant",NA,"","",NA
"1301",166019,"WITHIH","15",NA,"",37044501,37044541,"Withers height","Significant",NA,"","",NA
"1320",166038,"WITHIH","15",234.27,"234.27-234.27",4970669,4970709,"Withers height","Significant",NA,"","",NA
"1359",166078,"WITHIH","15",NA,"",88674580,88674620,"Withers height","Significant",NA,"","",NA
"1361",166080,"WITHIH","15",NA,"",88678356,88678396,"Withers height","Significant",NA,"","",NA
"1381",166100,"WITHIH","15",NA,"",35304832,35304872,"Withers height","Significant",NA,"","",NA
"1400",166119,"WITHIH","15",NA,"",81555536,81555576,"Withers height","Significant",NA,"","",NA
"1404",166123,"WITHIH","15",NA,"",74246742,74246782,"Withers height","Significant",NA,"","",NA
"1424",166143,"WITHIH","15",NA,"",10927328,10927368,"Withers height","Significant",NA,"","",NA
"1483",166202,"WITHIH","15",NA,"",88692997,88693037,"Withers height","Significant",NA,"","",NA
"1487",166206,"WITHIH","15",NA,"",14517491,14517531,"Withers height","Significant",NA,"","",NA
"1520",166239,"WITHIH","15",NA,"",14742808,14742848,"Withers height","Significant",NA,"","",NA
"1566",166348,"SUSLAR","15",NA,"",30758500,30758540,"Recurrent laryngeal neuropathy","Significant","","","",""
"1731",179363,"SUSBITE","15",NA,"",31741581,31741621,"Insect bite hypersensitivity","Significant","","","",""
"1795",179427,"SUSBITE","15",NA,"",14642870,14642910,"Insect bite hypersensitivity","Significant","","","",""
"1796",179428,"SUSBITE","15",NA,"",14642870,14642910,"Insect bite hypersensitivity","Significant","","","",""
"1797",179429,"SUSBITE","15",NA,"",14647211,14647251,"Insect bite hypersensitivity","Significant","","","",""
"1798",179430,"SUSBITE","15",NA,"",14647211,14647251,"Insect bite hypersensitivity","Significant","","","",""
"1799",179431,"SUSBITE","15",NA,"",21210190,21210230,"Insect bite hypersensitivity","Significant","","","",""
"1800",179432,"SUSBITE","15",NA,"",54538271,54538311,"Insect bite hypersensitivity","Significant","","","",""
"12",27151,"OSTEO","16",30.6,"",0,100,"Osteochondrosis","Significant","","","",""
"13",27152,"OSTEO","16",41.4,"",0,100,"Osteochondrosis","Significant","","","",""
"51",27190,"OSTEO","16",30.6,"",0,100,"Osteochondrosis","Significant","","","",""
"52",27191,"OSTD","16",30.6,"",0,100,"Osteochondrosis dissecans","Significant","","","",""
"76",27215,"OSTD","16",0,"0-1",0,100,"Osteochondrosis dissecans","Significant","","","",""
"77",27216,"OSTD","16",7.7,"",0,100,"Osteochondrosis dissecans","Significant","","","",""
"78",27217,"OSTD","16",30.6,"",0,100,"Osteochondrosis dissecans","Significant","","","",""
"79",27218,"OSTEO","16",42.5,"",0,100,"Osteochondrosis","Significant","","","",""
"80",27219,"OSTD","16",NA,"",0,100,"Osteochondrosis dissecans","Significant","","","",""
"81",27220,"OSTEO","16",44.6,"",0,100,"Osteochondrosis","Significant","","","",""
"82",27221,"OSTD","16",44.6,"",0,100,"Osteochondrosis dissecans","Significant","","","",""
"83",27222,"OSTEO","16",45.6,"",0,100,"Osteochondrosis","Significant","","","",""
"84",27223,"OSTD","16",45.6,"",0,100,"Osteochondrosis dissecans","Significant","","","",""
"85",27224,"OSTEO","16",126.5,"",0,100,"Osteochondrosis","Significant","","","",""
"152",28301,"CHRLYMP","16",59.4,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"153",28302,"CHRLYMP","16",5.7,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"154",28303,"CHRLYMP","16",65.4,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"155",28304,"CHRLYMP","16",30.6,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"178",28327,"CHRLYMP","16",65.4,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"179",28328,"CHRLYMP","16",30.6,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"208",28357,"heaves","16",135.8,"",0,100,"Recurrent airway obstruction","Significant","","","",""
"209",28358,"heaves","16",75.1,"",0,100,"Recurrent airway obstruction","Significant","","TKY349","",""
"230",28922,"OSTD","16",8.4,"8.44-34.99",0,100,"Osteochondrosis dissecans","Significant","","","",""
"231",28923,"OSTD","16",64.1,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"232",28924,"OSTEO","16",64.1,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"233",28925,"OSTD","16",65.4,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"234",28926,"OSTD","16",66.6,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"235",28927,"OSTD","16",30.6,"144.62-147.39",0,100,"Osteochondrosis dissecans","Significant","","","",""
"236",28928,"OSTD","16",68,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"237",28929,"OSTD","16",59.7,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"238",28930,"OSTD","16",151.5,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"239",28931,"OSTD","16",60.3,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"240",28932,"OSTD","16",60.9,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"241",28933,"OSTD","16",7.7,"33.95-35.69",0,100,"Osteochondrosis dissecans","Significant","","","",""
"242",28934,"OSTEO","16",65.4,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"243",28935,"OSTD","16",65.4,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"244",28936,"OSTD","16",66.6,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"245",28937,"OSTD","16",30.6,"144.62-147.39",0,100,"Osteochondrosis dissecans","Significant","","","",""
"246",28938,"OSTD","16",68,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"247",28939,"OSTD","16",68.3,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"248",28940,"OSTD","16",68.4,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"249",28941,"OSTD","16",68.6,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"250",28942,"OSTD","16",68.7,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"251",28943,"OSTD","16",68.9,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"252",28944,"OSTD","16",69,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"253",28945,"OSTD","16",69.2,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"254",28946,"OSTD","16",69.4,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"255",28947,"OSTD","16",69.5,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"256",28948,"OSTD","16",41.4,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"257",28949,"OSTD","16",69.7,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"258",28950,"OSTD","16",70.1,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"259",28951,"OSTEO","16",42.5,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"260",28952,"OSTD","16",42.5,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"261",28953,"OSTD","16",70.5,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"262",28954,"OSTD","16",70.9,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"263",28955,"OSTD","16",71,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"264",28956,"OSTD","16",71.4,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"265",28957,"OSTD","16",71.5,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"266",28958,"OSTEO","16",71.7,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"267",28959,"OSTD","16",71.7,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"268",28960,"OSTEO","16",44.6,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"269",28961,"OSTD","16",44.6,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"270",28962,"OSTEO","16",71.8,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"271",28963,"OSTD","16",71.8,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"272",28964,"OSTEO","16",45.6,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"273",28965,"OSTD","16",45.6,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"274",28966,"OSTEO","16",71.9,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"275",28967,"OSTD","16",71.9,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"276",28968,"OSTEO","16",72.2,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"277",28969,"OSTD","16",72.2,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"278",28970,"OSTEO","16",72.3,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"279",28971,"OSTD","16",72.3,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"280",28972,"OSTEO","16",72.4,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"281",28973,"OSTD","16",72.4,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"282",28974,"OSTEO","16",72.7,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"283",28975,"OSTD","16",72.7,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"284",28976,"OSTEO","16",72.8,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"285",28977,"OSTD","16",72.8,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"286",28978,"OSTEO","16",73,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"287",28979,"OSTD","16",73,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"288",28980,"OSTD","16",73.2,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"289",28981,"OSTEO","16",73.7,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"290",28982,"OSTD","16",73.7,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"291",28983,"OSTEO","16",74.1,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"292",28984,"OSTD","16",74.1,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"293",28985,"OSTEO","16",74.3,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"294",28986,"OSTD","16",74.3,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"295",28987,"OSTEO","16",74.3,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"296",28988,"OSTD","16",74.3,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"297",28989,"OSTEO","16",74.6,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"298",28990,"OSTD","16",74.6,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"299",28991,"OSTEO","16",74.8,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"300",28992,"OSTD","16",74.8,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"301",28993,"OSTEO","16",75.3,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"302",28994,"OSTD","16",75.3,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"303",28995,"OSTEO","16",75.7,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"304",28996,"OSTD","16",75.7,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"305",28997,"OSTD","16",76.4,"151.50-151.50",0,100,"Osteochondrosis dissecans","Significant","","","",""
"306",28998,"OSTEO","16",60.9,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"307",28999,"OSTEO","16",7.7,"33.95-35.69",0,100,"Osteochondrosis","Significant","","","",""
"308",29000,"OSTEO","16",61.5,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"309",29001,"OSTEO","16",5.7,"29.40-30.10",0,100,"Osteochondrosis","Significant","","","",""
"310",29002,"OSTEO","16",8.4,"8.44-34.99",0,100,"Osteochondrosis","Significant","","","",""
"311",29003,"OSTEO","16",64.1,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"312",29004,"OSTEO","16",65.4,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"313",29005,"OSTEO","16",66.6,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"314",29006,"OSTEO","16",30.6,"144.62-147.39",0,100,"Osteochondrosis","Significant","","","",""
"315",29007,"OSTEO","16",68,"151.50-151.50",0,100,"Osteochondrosis","Significant","","","",""
"585",29277,"RER","16",574.51,"574.51-574.51",29349222,29349262,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"586",29278,"RER","16",574.51,"574.51-574.51",31837467,31837507,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"587",29279,"RER","16",574.51,"574.51-574.51",32365462,32365502,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"598",29332,"OSTEO","16",309.12,"309.12-309.12",47614641,47614681,"Osteochondrosis","Significant","","","",""
"602",29336,"RER","16",272.65,"272.65-272.65",41996567,41996607,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"603",29337,"RER","16",190.54,"190.54-190.54",29349222,29349262,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"604",29338,"RER","16",190.31,"190.31-190.31",29314251,29314291,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"605",29339,"RER","16",187.02,"187.01-187.02",28806480,28806520,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"606",29340,"RER","16",188.02,"188.02-188.02",28961358,28961398,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"607",29341,"RER","16",193.98,"193.98-193.98",29879280,29879320,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"608",29342,"RER","16",194.36,"194.36-194.36",29937733,29937773,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"609",29343,"RER","16",198.33,"198.33-198.33",30549567,30549607,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"610",29344,"RER","16",205.91,"205.91-205.91",31717493,31717533,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"611",29345,"RER","16",206.69,"206.69-206.69",31837330,31837370,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"612",29346,"RER","16",207.38,"207.38-207.38",31943538,31943578,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"613",29347,"RER","16",207.82,"207.82-207.82",32011106,32011146,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"614",29348,"RER","16",209.96,"209.96-209.96",32340306,32340346,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"615",29349,"RER","16",210.53,"210.53-210.53",32428416,32428456,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"616",29350,"RER","16",214.63,"214.63-214.63",33060440,33060480,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"617",29351,"RER","16",214.74,"214.74-214.74",33077016,33077056,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"618",29352,"RER","16",214.79,"214.79-214.79",33085338,33085378,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"619",29353,"RER","16",214.85,"214.85-214.85",33093993,33094033,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"620",29354,"RER","16",215.1,"215.10-215.10",33132104,33132144,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"621",29355,"RER","16",234.78,"234.78-234.78",36163316,36163356,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"622",29356,"RER","16",271.2,"271.20-271.20",41773261,41773301,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"623",29357,"RER","16",271.49,"271.49-271.49",41818070,41818110,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"624",29358,"RER","16",272.65,"272.65-272.65",41997203,41997243,"Recurrent exertional rhabdomyolysis","Significant","","","",""
"882",124193,"WALKS","16",259.38,"259.38-259.39",39953829,39953869,"Walk score","Significant",NA,"","",NA
"893",138682,"RACPERM","16",NA,"",79466416,79466456,"racing performance","Significant",NA,"","",NA
"894",138683,"RACDIST","16",NA,"",79466416,79466456,"racing distance","Significant",NA,"","",NA
"1027",163999,"OSTEO","16",239.88,"239.88-239.88",36949813,36949853,"Osteochondrosis","Significant","","","",""
"1058",165774,"WITHIH","16",NA,"",73393673,73393713,"Withers height","Significant",NA,"","",NA
"1064",165780,"WITHIH","16",141.79,"141.79-141.79",21840772,21840812,"Withers height","Significant",NA,"","",NA
"1095",165811,"WITHIH","16",282.41,"282.41-282.41",43500172,43500212,"Withers height","Significant",NA,"","",NA
"1102",165818,"WITHIH","16",233.26,"233.26-233.26",35930408,35930448,"Withers height","Significant",NA,"","",NA
"1154",165871,"WITHIH","16",NA,"",73393673,73393713,"Withers height","Significant",NA,"","",NA
"1157",165874,"WITHIH","16",204.38,"204.38-204.38",31481068,31481108,"Withers height","Significant",NA,"","",NA
"1159",165876,"WITHIH","16",NA,"",83278907,83278947,"Withers height","Significant",NA,"","",NA
"1170",165887,"WITHIH","16",289.88,"289.88-289.88",44651036,44651076,"Withers height","Significant",NA,"","",NA
"1176",165893,"WITHIH","16",217.19,"217.19-217.19",33454075,33454115,"Withers height","Significant",NA,"","",NA
"1183",165900,"WITHIH","16",219.99,"219.99-219.99",33886429,33886469,"Withers height","Significant",NA,"","",NA
"1192",165909,"WITHIH","16",222.32,"222.32-222.32",34244586,34244626,"Withers height","Significant",NA,"","",NA
"1196",165913,"WITHIH","16",379.04,"379.04-379.04",58385185,58385225,"Withers height","Significant",NA,"","",NA
"1205",165922,"WITHIH","16",201.94,"201.94-201.94",31105047,31105087,"Withers height","Significant",NA,"","",NA
"1213",165930,"WITHIH","16",NA,"",87128908,87128948,"Withers height","Significant",NA,"","",NA
"1215",165932,"WITHIH","16",141.79,"141.79-141.79",21840772,21840812,"Withers height","Significant",NA,"","",NA
"1225",165942,"WITHIH","16",NA,"",69879996,69880036,"Withers height","Significant",NA,"","",NA
"1237",165954,"WITHIH","16",292.46,"292.46-292.46",45048218,45048258,"Withers height","Significant",NA,"","",NA
"1238",165955,"WITHIH","16",292.48,"292.48-292.48",45051923,45051963,"Withers height","Significant",NA,"","",NA
"1247",165965,"WITHIH","16",213.46,"213.46-213.46",32879972,32880012,"Withers height","Significant",NA,"","",NA
"1263",165981,"WITHIH","16",379.76,"379.76-379.76",58494980,58495020,"Withers height","Significant",NA,"","",NA
"1279",165997,"WITHIH","16",282.41,"282.41-282.41",43500172,43500212,"Withers height","Significant",NA,"","",NA
"1283",166001,"WITHIH","16",221.74,"221.74-221.74",34156000,34156040,"Withers height","Significant",NA,"","",NA
"1284",166002,"WITHIH","16",221.75,"221.75-221.75",34156493,34156533,"Withers height","Significant",NA,"","",NA
"1291",166009,"WITHIH","16",379.03,"379.03-379.03",58383150,58383190,"Withers height","Significant",NA,"","",NA
"1300",166018,"WITHIH","16",214.01,"214.01-214.01",32964052,32964092,"Withers height","Significant",NA,"","",NA
"1303",166021,"WITHIH","16",289.35,"289.35-289.35",44569113,44569153,"Withers height","Significant",NA,"","",NA
"1312",166030,"WITHIH","16",144.69,"144.69-144.69",22286620,22286660,"Withers height","Significant",NA,"","",NA
"1318",166036,"WITHIH","16",392.72,"392.72-392.72",60492509,60492549,"Withers height","Significant",NA,"","",NA
"1322",166040,"WITHIH","16",221.81,"221.81-221.81",34165467,34165507,"Withers height","Significant",NA,"","",NA
"1330",166048,"WITHIH","16",NA,"",73235164,73235204,"Withers height","Significant",NA,"","",NA
"1344",166062,"WITHIH","16",224.32,"224.32-224.32",34552344,34552384,"Withers height","Significant",NA,"","",NA
"1348",166067,"WITHIH","16",29.14,"29.14-29.14",4488645,4488685,"Withers height","Significant",NA,"","",NA
"1352",166071,"WITHIH","16",119.03,"119.03-119.03",18334662,18334702,"Withers height","Significant",NA,"","",NA
"1354",166073,"WITHIH","16",252.86,"252.86-252.86",38949259,38949299,"Withers height","Significant",NA,"","",NA
"1355",166074,"WITHIH","16",253.31,"253.31-253.31",39018763,39018803,"Withers height","Significant",NA,"","",NA
"1356",166075,"WITHIH","16",255.21,"255.21-255.21",39311035,39311075,"Withers height","Significant",NA,"","",NA
"1367",166086,"WITHIH","16",184.93,"184.93-184.93",28484737,28484777,"Withers height","Significant",NA,"","",NA
"1385",166104,"WITHIH","16",NA,"",84748527,84748567,"Withers height","Significant",NA,"","",NA
"1401",166120,"WITHIH","16",394.53,"394.53-394.53",60770435,60770475,"Withers height","Significant",NA,"","",NA
"1407",166126,"WITHIH","16",NA,"",62620255,62620295,"Withers height","Significant",NA,"","",NA
"1416",166135,"WITHIH","16",211.42,"211.42-211.42",32565324,32565364,"Withers height","Significant",NA,"","",NA
"1431",166150,"WITHIH","16",297.65,"297.65-297.65",45848187,45848227,"Withers height","Significant",NA,"","",NA
"1443",166162,"WITHIH","16",211.39,"211.39-211.39",32561569,32561609,"Withers height","Significant",NA,"","",NA
"1454",166173,"WITHIH","16",202.01,"202.01-202.01",31115460,31115500,"Withers height","Significant",NA,"","",NA
"1457",166176,"WITHIH","16",255.62,"255.62-255.62",39373527,39373567,"Withers height","Significant",NA,"","",NA
"1486",166205,"WITHIH","16",NA,"",71877119,71877159,"Withers height","Significant",NA,"","",NA
"1492",166211,"WITHIH","16",176.59,"176.59-176.59",27201309,27201349,"Withers height","Significant",NA,"","",NA
"1497",166216,"WITHIH","16",250.37,"250.37-250.37",38564607,38564647,"Withers height","Significant",NA,"","",NA
"1540",166259,"WITHIH","16",NA,"",83493952,83493992,"Withers height","Significant",NA,"","",NA
"1549",166268,"WITHIH","16",224.25,"224.25-224.25",34541528,34541568,"Withers height","Significant",NA,"","",NA
"1658",172459,"GAITED","16",385.52,"385.52-385.52",59382104,59382144,"Alternate gaits","Significant",NA,"","",NA
"1659",172460,"GAITED","16",385.32,"385.32-385.32",59352666,59352706,"Alternate gaits","Significant",NA,"","",NA
"1679",172506,"GAITED","16",167,"167.00-167.00",25722805,25722845,"Alternate gaits","Significant",NA,"","",NA
"1802",179434,"SUSBITE","16",NA,"",62046367,62046407,"Insect bite hypersensitivity","Significant","","","",""
"1803",179435,"SUSBITE","16",NA,"",62046367,62046407,"Insect bite hypersensitivity","Significant","","","",""
"3",27142,"OSTEO","17",46.6,"",0,100,"Osteochondrosis","Significant","","","",""
"156",28305,"CHRLYMP","17",4.4,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"157",28306,"CHRLYMP","17",12.2,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"158",28307,"CHRLYMP","17",27.1,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"180",28329,"CHRLYMP","17",4.4,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"181",28330,"CHRLYMP","17",12.2,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"210",28359,"heaves","17",61.7,"",0,100,"Recurrent airway obstruction","Significant","","LEX067","",""
"1044",165353,"RACPERM","17",136.37,"136.37-136.37",20813144,20813184,"racing performance","Significant",NA,"","",NA
"1068",165784,"WITHIH","17",NA,"",62419292,62419332,"Withers height","Significant",NA,"","",NA
"1087",165803,"WITHIH","17",205.32,"205.32-205.32",31336600,31336640,"Withers height","Significant",NA,"","",NA
"1110",165826,"WITHIH","17",186.32,"186.32-186.32",28436572,28436612,"Withers height","Significant",NA,"","",NA
"1112",165828,"WITHIH","17",311.6,"311.60-311.60",47557642,47557682,"Withers height","Significant",NA,"","",NA
"1128",165845,"WITHIH","17",355.21,"355.21-355.21",54213959,54213999,"Withers height","Significant",NA,"","",NA
"1152",165869,"WITHIH","17",NA,"",63363881,63363921,"Withers height","Significant",NA,"","",NA
"1254",165972,"WITHIH","17",NA,"",65649245,65649285,"Withers height","Significant",NA,"","",NA
"1260",165978,"WITHIH","17",NA,"",62419292,62419332,"Withers height","Significant",NA,"","",NA
"1299",166017,"WITHIH","17",281.3,"281.30-281.30",42932954,42932994,"Withers height","Significant",NA,"","",NA
"1313",166031,"WITHIH","17",12.67,"12.67-12.67",1933800,1933840,"Withers height","Significant",NA,"","",NA
"1319",166037,"WITHIH","17",NA,"",75752515,75752555,"Withers height","Significant",NA,"","",NA
"1376",166095,"WITHIH","17",353.88,"353.88-353.88",54010130,54010170,"Withers height","Significant",NA,"","",NA
"1406",166125,"WITHIH","17",197.93,"197.93-197.93",30209589,30209629,"Withers height","Significant",NA,"","",NA
"1420",166139,"WITHIH","17",NA,"",66476912,66476952,"Withers height","Significant",NA,"","",NA
"1429",166148,"WITHIH","17",355.21,"355.21-355.21",54213959,54213999,"Withers height","Significant",NA,"","",NA
"1460",166179,"WITHIH","17",355.21,"355.21-355.21",54213656,54213696,"Withers height","Significant",NA,"","",NA
"1465",166184,"WITHIH","17",NA,"",64373346,64373386,"Withers height","Significant",NA,"","",NA
"1578",172353,"GAITED","17",396.76,"396.76-396.76",60554438,60554478,"Alternate gaits","Significant",NA,"","",NA
"1583",172358,"GAITED","17",396.42,"396.42-396.42",60503118,60503158,"Alternate gaits","Significant",NA,"","",NA
"1584",172359,"GAITED","17",396.56,"396.56-396.56",60523862,60523902,"Alternate gaits","Significant",NA,"","",NA
"1585",172360,"GAITED","17",268.63,"268.63-268.63",40999924,40999964,"Alternate gaits","Significant",NA,"","",NA
"1586",172361,"GAITED","17",274.57,"274.57-274.57",41905482,41905522,"Alternate gaits","Significant",NA,"","",NA
"1589",172364,"GAITED","17",186.48,"186.48-186.48",28460831,28460871,"Alternate gaits","Significant",NA,"","",NA
"1590",172365,"GAITED","17",237.79,"237.79-237.79",36291953,36291993,"Alternate gaits","Significant",NA,"","",NA
"1602",172377,"GAITED","17",170.12,"170.12-170.12",25963815,25963855,"Alternate gaits","Significant",NA,"","",NA
